Hours,Lifetime Hourly Data: System power generated (kW),MW
244.5,-7.08862,0
245.5,-7.08862,0
246.5,3721.93,3.72193
247.5,14565.5,14.5655
248.5,27737.8,27.7378
249.5,33594.6,33.5946
250.5,36910.9,36.9109
251.5,43798,43.798
252.5,21627.7,21.6277
253.5,4970.09,4.97009
254.5,3592.42,3.59242
255.5,16351.4,16.3514
256.5,25024.7,25.0247
257.5,9279.55,9.27955
258.5,2824.38,2.82438
259.5,207.929,0.207929
260.5,-7.08862,0
261.5,-7.08862,0
262.5,-7.08862,0
263.5,-7.08862,0
264.5,-7.08862,0
265.5,-7.08862,0
266.5,-7.08862,0
267.5,-7.08862,0
268.5,-7.08862,0
269.5,228.512,0.228512
270.5,5751.14,5.75114
271.5,11266.4,11.2664
272.5,19789.5,19.7895
273.5,22509.8,22.5098
274.5,15194.2,15.1942
275.5,36303.2,36.3032
276.5,46437.8,46.4378
277.5,54503.4,54.5034
278.5,54503.4,54.5034
279.5,43464.9,43.4649
280.5,25920.1,25.9201
281.5,15779.8,15.7798
282.5,3449.62,3.44962
283.5,205.811,0.205811
284.5,-7.08862,0
285.5,-7.08862,0
286.5,-7.08862,0
287.5,-7.08862,0
288.5,-7.08862,0
289.5,-7.08862,0
290.5,-7.08862,0
291.5,-7.08862,0
292.5,-7.08862,0
293.5,120.103,0.120103
294.5,3639.39,3.63939
295.5,13958.9,13.9589
296.5,20150.7,20.1507
297.5,37547.1,37.5471
298.5,49599.1,49.5991
299.5,54503.4,54.5034
300.5,54503.4,54.5034
301.5,54503.4,54.5034
302.5,47071.9,47.0719
303.5,41868.4,41.8684
304.5,17571.1,17.5711
305.5,10047.1,10.0471
306.5,4038.7,4.0387
307.5,197.337,0.197337
308.5,-7.08862,0
309.5,-7.08862,0
310.5,-7.08862,0
311.5,-7.08862,0
312.5,-7.08862,0
313.5,-7.08862,0
314.5,-7.08862,0
315.5,-7.08862,0
316.5,-7.08862,0
317.5,-7.08862,0
318.5,399.536,0.399536
319.5,2487.88,2.48788
320.5,4122.47,4.12247
321.5,1928.79,1.92879
322.5,8332.38,8.33238
323.5,10150.6,10.1506
324.5,18178.2,18.1782
325.5,21997,21.997
326.5,36032.4,36.0324
327.5,30206.3,30.2063
328.5,17387.8,17.3878
329.5,9061.8,9.0618
330.5,4824,4.824
331.5,796.802,0.796802
332.5,-7.08862,0
333.5,-7.08862,0
334.5,-7.08862,0
335.5,-7.08862,0
336.5,-7.08862,0
337.5,-7.08862,0
338.5,-7.08862,0
339.5,-7.08862,0
340.5,-7.08862,0
341.5,-7.08862,0
342.5,2866.89,2.86689
343.5,10911,10.911
344.5,23092.5,23.0925
345.5,20117.1,20.1171
346.5,39314.5,39.3145
347.5,43962.8,43.9628
348.5,40515.7,40.5157
349.5,46954.2,46.9542
350.5,46744.8,46.7448
351.5,37242.3,37.2423
352.5,29055.5,29.0555
353.5,8350.5,8.3505
354.5,3738.16,3.73816
355.5,198.623,0.198623
356.5,-7.08862,0
357.5,-7.08862,0
358.5,-7.08862,0
359.5,-7.08862,0
360.5,-7.08862,0
361.5,-7.08862,0
362.5,-7.08862,0
363.5,-7.08862,0
364.5,-7.08862,0
365.5,-7.08862,0
